"S.no","temperature","outlier"
900,76.4,"No"
901,76.47666667,"No"
902,76.40166667,"No"
903,76.23666667,"No"
904,76.16833333,"No"
905,76.365,"No"
906,76.47333333,"No"
907,76.49333333,"No"
908,76.335,"No"
909,76.20333333,"No"
910,76.28833333,"No"
911,76.49833333,"No"
912,76.61333333,"No"
913,76.55666667,"No"
914,76.39,"No"
915,76.335,"No"
916,76.57333333,"No"
917,76.695,"No"
918,76.64666667,"No"
919,76.48666667,"No"
920,76.30833333,"No"
921,76.385,"No"
922,76.5,"No"
923,76.57666667,"No"
924,76.465,"No"
925,76.28833333,"No"
926,76.27166667,"No"
927,76.47833333,"No"
928,76.58666667,"No"
929,76.57,"No"
930,76.385,"No"
931,76.25,"No"
932,76.43833333,"No"
933,76.57333333,"No"
934,76.6,"No"
935,76.43,"No"
936,76.24,"No"
937,76.27833333,"No"
938,76.4,"No"
939,76.39833333,"No"
940,76.34,"No"
941,76.3,"No"
942,76.345,"No"
943,76.49666667,"No"
944,76.5,"No"
945,76.45166667,"No"
946,76.34333333,"No"
947,76.23333333,"No"
948,76.3,"No"
949,76.49166667,"No"
950,76.48166667,"No"
951,76.4,"No"
952,76.35833333,"No"
953,76.3,"No"
954,76.405,"No"
955,76.5,"No"
956,76.5,"No"
957,76.465,"No"
958,76.4,"No"
959,76.4,"No"
960,76.48833333,"No"
961,76.60666667,"No"
962,76.70166667,"No"
963,76.64166667,"No"
964,76.44833333,"No"
965,76.38,"No"
966,76.58333333,"No"
967,76.69666667,"No"
968,76.765,"No"
969,76.64833333,"No"
970,76.51333333,"No"
971,76.595,"No"
972,76.86666667,"No"
973,76.9,"No"
974,76.90333333,"No"
975,76.9,"No"
976,76.835,"No"
977,76.88,"No"
978,77.08,"No"
979,77.12166667,"No"
980,77.145,"No"
981,77.1,"No"
982,77.1,"No"
983,77.23,"No"
984,77.4,"No"
985,77.385,"No"
986,77.3,"No"
987,77.29833333,"No"
988,77.28666667,"No"
989,77.45,"No"
990,77.49833333,"No"
991,77.49833333,"No"
992,77.39833333,"No"
993,77.26833333,"No"
994,77.25,"No"
995,77.47166667,"No"
996,77.46,"No"
997,77.4,"No"
998,77.32166667,"No"
999,77.29333333,"No"
1000,77.24833333,"No"
1001,77.39666667,"No"
1002,77.42,"No"
1003,77.4,"No"
1004,77.31166667,"No"
1005,77.20166667,"No"
1006,77.13,"No"
1007,77.26333333,"No"
1008,77.2,"No"
1009,77.2,"No"
1010,77.2,"No"
1011,77.24,"No"
1012,77.44666667,"No"
1013,77.43833333,"No"
1014,77.35333333,"No"
1015,77.345,"No"
1016,77.38333333,"No"
1017,77.46,"No"
1018,77.62,"No"
